公众号【天微科技】240101更新

📡央视频道,#genre#
重庆卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225662/10000100000000060000000000000199_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
福建东南卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225805/10000100000000060000000000030407_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
海南卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225837/10000100000000060000000000382522_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
青海卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225725/10000100000000060000000000000262_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
云南卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221226252/10000100000000060000000000801378_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
陕西卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225722/10000100000000060000000000000259_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
内蒙古卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225723/10000100000000060000000000000260_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
宁夏卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225724/10000100000000060000000000000261_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
吉林卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225829/10000100000000060000000000263909_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
新疆卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225726/10000100000000060000000000000263_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
甘肃卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225727/10000100000000060000000000000264_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
